fragmanetAndSide,fragment,class,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates
PX303Fg006_6X3_3X1_2_PX303Fg006_6X3_4X2_2,PX303Fg006_6X3_3X1_PX303Fg006_6X3_4X2,0,45,2,1,2,1,"[[False, 2, 0], [False, 2, 0]]","[[500, 611, 500, 50], [500, 611, 500, 50]]",[]
PX303Fg006_4X3_2X0_1_PX303Fg006_4X3_3X2_1,PX303Fg006_4X3_2X0_PX303Fg006_4X3_3X2,0,74,4,2,6,3,"[[False, 4, 0], [False, 4, 0], [False, 4, 5], [False, 4, 5]]","[[250, 1068, 250, 50], [250, 1068, 250, 50], [250, 1068, 250, 1440], [250, 1068, 250, 1440]]",[]
PX303Fg006_4X3_0X0_0_PX303Fg006_4X3_1X0_1,PX303Fg006_4X3_0X0_PX303Fg006_4X3_1X0,1,193,12,11,22,11,"[[False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 0]]","[[0, 1178, 250, 50], [40, 1178, 290, 50], [40, 1178, 290, 50], [80, 1178, 330, 50], [80, 1178, 330, 50], [120, 1178, 370, 50], [130, 1178, 380, 50], [130, 1178, 380, 50], [170, 1178, 420, 50], [170, 1178, 420, 50], [210, 1178, 460, 50], [210, 1178, 460, 50]]",[]
PX303Fg006_6X4_0X0_0_PX303Fg006_6X4_5X3_1,PX303Fg006_6X4_0X0_PX303Fg006_6X4_5X3,0,32,4,2,6,3,"[[False, 2, 0], [False, 2, 0], [False, 2, 3], [False, 2, 3]]","[[0, 654, 250, 50], [0, 654, 250, 50], [0, 654, 250, 866], [0, 654, 250, 866]]",[]
PX303Fg006_4X4_1X1_1_PX303Fg006_4X4_3X2_0,PX303Fg006_4X4_1X1_PX303Fg006_4X4_3X2,0,7,2,0,2,1,"[[False, 5, 0], [False, 5, 5]]","[[250, 1276, 0, 50], [250, 1276, 0, 1263]]",[]
PX303Fg006_5X3_2X2_2_PX303Fg006_5X3_3X1_4,PX303Fg006_5X3_2X2_PX303Fg006_5X3_3X1,0,5,2,1,2,1,"[[False, 2, 0], [False, 2, 0]]","[[500, 638, 1000, 50], [500, 638, 1000, 50]]",[]
PX303Fg006_4X3_0X2_4_PX303Fg006_4X3_3X1_0,PX303Fg006_4X3_0X2_PX303Fg006_4X3_3X1,0,80,5,3,4,2,"[[False, 0, 0], [False, 0, 0], [False, 3, 0], [False, 3, 0], [False, 3, 5]]","[[1000, 50, 0, 50], [1000, 50, 0, 50], [1000, 968, 0, 50], [1000, 968, 0, 50], [1000, 968, 0, 1484]]",[]
PX303Fg006_4X4_1X0_0_PX303Fg006_4X4_3X2_1,PX303Fg006_4X4_1X0_PX303Fg006_4X4_3X2,0,7,2,1,2,1,"[[False, 4, 5], [False, 4, 5]]","[[0, 1230, 250, 1263], [0, 1230, 250, 1263]]",[]
PX303Fg006_5X3_2X0_4_PX303Fg006_5X3_4X2_3,PX303Fg006_5X3_2X0_PX303Fg006_5X3_4X2,0,63,2,1,2,1,"[[False, 3, 2], [False, 3, 2]]","[[1000, 957, 750, 586], [1000, 957, 750, 586]]",[]
PX303Fg006_5X4_2X3_3_PX303Fg006_5X4_3X1_2,PX303Fg006_5X4_2X3_PX303Fg006_5X4_3X1,0,24,1,1,0,0,"[[False, 0, 0]]","[[750, 50, 500, 50]]",[]
