File,Model,Gap,Slice_size,Count,Precision,Recall,F-score,True Count,Error Rate
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120553-ML858__011.jpg,/Users/il239838/Development/models/ML858__011_250px_model400x50.ckpt,0,250,7000,0.773110690308,0.959717918581,0.856366496639,2570,0.115857142857
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120553-ML858__011.jpg,/Users/il239838/Development/models/ML858__011_250px_model400x50.ckpt,5,250,5000,0.743151738997,0.839826086957,0.788536903984,2041,0.1916
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120553-ML858__011.jpg,/Users/il239838/Development/models/ML858__011_250px_model400x50.ckpt,10,250,5000,0.749267620196,0.756173913043,0.752704925128,2041,0.2112
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120553-ML858__011.jpg,/Users/il239838/Development/models/ML858__011_250px_model400x50.ckpt,20,250,5000,0.713463996591,0.582434782609,0.641325162773,2041,0.2728
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120553-ML858__011.jpg,/Users/il239838/Development/models/ML858__011_250px_model400x50.ckpt,40,250,5000,0.670503316426,0.597739130435,0.632033835969,2041,0.2728
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120553-ML858__011.jpg,/Users/il239838/Development/models/ML858__011_250px_model400x50.ckpt,80,250,5000,0.618229361225,0.575652173913,0.596181556196,2041,0.3088
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120553-ML858__011.jpg,/Users/il239838/Development/models/ML858__011_250px_model400x50.ckpt,120,250,5000,0.590637450199,0.515652173913,0.550603528319,2041,0.3364
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120605-ML924__012.jpg,/Users/il239838/Development/models/ML924__012_250px_model400x50.ckpt,0,250,7000,0.859502526234,0.945186451544,0.900310416773,2570,0.0714285714286
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120605-ML924__012.jpg,/Users/il239838/Development/models/ML924__012_250px_model400x50.ckpt,5,250,5000,0.842377260982,0.793739130435,0.817335243553,2041,0.1522
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120605-ML924__012.jpg,/Users/il239838/Development/models/ML924__012_250px_model400x50.ckpt,10,250,5000,0.825095867064,0.673565217391,0.741669858292,2041,0.1974
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120605-ML924__012.jpg,/Users/il239838/Development/models/ML924__012_250px_model400x50.ckpt,20,250,5000,0.822784810127,0.542608695652,0.653950953678,2041,0.2428
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120605-ML924__012.jpg,/Users/il239838/Development/models/ML924__012_250px_model400x50.ckpt,40,250,5000,0.75558708762,0.370434782609,0.497140856576,2041,0.2966
