fragmentAndSide,fragment,fragmentTotal,fragmentVote,devideVoteByTotal,fragmentAndSideTotal,fragmentAndSideVote,devideSideVoteBySideTotal,fragmentAndSideTrendVote,devideSideTrendVoteBySideTotal,fragmentAndSideTrendVoteStrict,devideSideTrendVoteStrictBySideTotal,fragmentAndSideTrendVoteSync,devideSideTrendVoteSyncBySideTotal,firstFileName,firstCroppedWidth,firstOffsetX,firstOffsetY,firstHorizontalFlip,secondFileName,secondCroppedWidth,secondOffsetX,secondOffsetY,secondHorizontalFlip,origCoordinates,class,votesOverlapMax,divideOverlapMaxBySideTotal,votesOverlapHeight,votesSupportOverlapRect,divideSupportOverlapBySideTotal,divideSupportOverlapBySideVote,prediction,frontImageCombined,backImageCombined
P593Fg002_1_P593Fg017_0,P593Fg002_P593Fg017,1040,367,0.352884615,260,72,0.276923077,72,0.276923077,1,0.003846154,0,0,P593Fg002,1264,2550,1609,1,P593Fg017,912,3079,1875,1,[],0,19,0.073076923,50,19,0.073076923,0.263888889,1,ux593_20190105/R=P593Fg002_1_P593Fg017_0.jpg,ux593_20190105/V=P593Fg002_1_P593Fg017_0.jpg
P593Fg015_1_P593Fg016_1,P593Fg015_P593Fg016,1216,545,0.448190789,304,97,0.319078947,97,0.319078947,1,0.003289474,0,0,P593Fg015,1184,2802,1572,1,P593Fg016,1044,2842,1766,1,[],0,19,0.0625,50,19,0.0625,0.195876289,1,ux593_20190105/R=P593Fg015_1_P593Fg016_1.jpg,ux593_20190105/V=P593Fg015_1_P593Fg016_1.jpg
P593Fg002_0_P593Fg015_1,P593Fg002_P593Fg015,1520,461,0.303289474,361,62,0.171745152,62,0.171745152,1,0.002770083,0,0,P593Fg002,1264,2550,1609,1,P593Fg015,1184,2802,1572,1,[],0,19,0.052631579,50,19,0.052631579,0.306451613,1,ux593_20190105/R=P593Fg002_0_P593Fg015_1.jpg,ux593_20190105/V=P593Fg002_0_P593Fg015_1.jpg
P593Fg001_1_P593Fg017_1,P593Fg001_P593Fg017,2548,794,0.311616954,559,123,0.220035778,122,0.218246869,2,0.003577818,2,0.003577818,P593Fg001,2185,2136,1021,1,P593Fg017,912,3079,1875,1,[],0,18,0.032200358,100,23,0.041144902,0.18699187,1,ux593_20190105/R=P593Fg001_1_P593Fg017_1.jpg,ux593_20190105/V=P593Fg001_1_P593Fg017_1.jpg
P593Fg005_1_P593Fg010_0,P593Fg005_P593Fg010,270,159,0.588888889,81,52,0.641975309,52,0.641975309,1,0.012345679,0,0,P593Fg005,2099,2814,1994,1,P593Fg010,1293,2911,1948,1,[],0,18,0.222222222,50,18,0.222222222,0.346153846,1,ux593_20190105/R=P593Fg005_1_P593Fg010_0.jpg,ux593_20190105/V=P593Fg005_1_P593Fg010_0.jpg
P593Fg014_0_P593Fg017_1,P593Fg014_P593Fg017,416,166,0.399038462,104,49,0.471153846,49,0.471153846,1,0.009615385,0,0,P593Fg014,921,2906,1726,1,P593Fg017,912,3079,1875,1,[],0,18,0.173076923,50,18,0.173076923,0.367346939,1,ux593_20190105/R=P593Fg014_0_P593Fg017_1.jpg,ux593_20190105/V=P593Fg014_0_P593Fg017_1.jpg
P593Fg014_0_P593Fg018_1,P593Fg014_P593Fg018,416,124,0.298076923,104,49,0.471153846,49,0.471153846,1,0.009615385,0,0,P593Fg014,921,2906,1726,1,P593Fg018,979,3152,1684,1,[],0,18,0.173076923,50,18,0.173076923,0.367346939,1,ux593_20190105/R=P593Fg014_0_P593Fg018_1.jpg,ux593_20190105/V=P593Fg014_0_P593Fg018_1.jpg
P593Fg004_0_P593Fg010_0,P593Fg004_P593Fg010,468,211,0.450854701,117,67,0.572649573,67,0.572649573,2,0.017094017,2,0.017094017,P593Fg004,1399,2862,1709,1,P593Fg010,1293,2911,1948,1,[],0,18,0.153846154,50,18,0.153846154,0.268656716,1,ux593_20190105/R=P593Fg004_0_P593Fg010_0.jpg,ux593_20190105/V=P593Fg004_0_P593Fg010_0.jpg
P593Fg017_1_P593Fg018_0,P593Fg017_P593Fg018,676,302,0.446745562,169,50,0.295857988,50,0.295857988,1,0.00591716,0,0,P593Fg017,912,3079,1875,1,P593Fg018,979,3152,1684,1,[],0,18,0.106508876,50,18,0.106508876,0.36,1,ux593_20190105/R=P593Fg017_1_P593Fg018_0.jpg,ux593_20190105/V=P593Fg017_1_P593Fg018_0.jpg
P593Fg004_0_P593Fg017_0,P593Fg004_P593Fg017,676,196,0.289940828,169,70,0.414201183,70,0.414201183,2,0.01183432,1,0.00591716,P593Fg004,1399,2862,1709,1,P593Fg017,912,3079,1875,1,[],0,18,0.106508876,50,18,0.106508876,0.257142857,1,ux593_20190105/R=P593Fg004_0_P593Fg017_0.jpg,ux593_20190105/V=P593Fg004_0_P593Fg017_0.jpg
P593Fg003_0_P593Fg004_1,P593Fg003_P593Fg004,1196,571,0.477424749,299,125,0.418060201,125,0.418060201,1,0.003344482,0,0,P593Fg003,1542,2531,1629,1,P593Fg004,1399,2862,1709,1,[],0,18,0.060200669,150,18,0.060200669,0.144,1,ux593_20190105/R=P593Fg003_0_P593Fg004_1.jpg,ux593_20190105/V=P593Fg003_0_P593Fg004_1.jpg
P593Fg002_1_P593Fg016_1,P593Fg002_P593Fg016,1280,490,0.3828125,320,75,0.234375,75,0.234375,1,0.003125,0,0,P593Fg002,1264,2550,1609,1,P593Fg016,1044,2842,1766,1,[],0,18,0.05625,50,18,0.05625,0.24,1,ux593_20190105/R=P593Fg002_1_P593Fg016_1.jpg,ux593_20190105/V=P593Fg002_1_P593Fg016_1.jpg
P593Fg003_1_P593Fg016_0,P593Fg003_P593Fg016,1472,314,0.213315217,352,87,0.247159091,85,0.241477273,1,0.002840909,0,0,P593Fg003,1542,2531,1629,1,P593Fg016,1044,2842,1766,1,[],0,18,0.051136364,50,18,0.051136364,0.206896552,1,ux593_20190105/R=P593Fg003_1_P593Fg016_0.jpg,ux593_20190105/V=P593Fg003_1_P593Fg016_0.jpg
P593Fg001_1_P593Fg018_0,P593Fg001_P593Fg018,2548,970,0.380690738,559,145,0.259391771,143,0.255813953,1,0.001788909,0,0,P593Fg001,2185,2136,1021,1,P593Fg018,979,3152,1684,1,[],0,18,0.032200358,150,18,0.032200358,0.124137931,1,ux593_20190105/R=P593Fg001_1_P593Fg018_0.jpg,ux593_20190105/V=P593Fg001_1_P593Fg018_0.jpg
P593Fg001_0_P593Fg018_0,P593Fg001_P593Fg018,2548,970,0.380690738,715,241,0.337062937,241,0.337062937,2,0.002797203,6,0.008391608,P593Fg001,2185,2136,1021,1,P593Fg018,979,3152,1684,1,[],0,18,0.025174825,1750,18,0.025174825,0.074688797,1,ux593_20190105/R=P593Fg001_0_P593Fg018_0.jpg,ux593_20190105/V=P593Fg001_0_P593Fg018_0.jpg
P593Fg005_0_P593Fg011_0,P593Fg005_P593Fg011,240,137,0.570833333,48,39,0.8125,39,0.8125,2,0.041666667,1,0.020833333,P593Fg005,2099,2814,1994,1,P593Fg011,1364,2824,1898,1,[],0,17,0.354166667,100,22,0.458333333,0.564102564,1,ux593_20190105/R=P593Fg005_0_P593Fg011_0.jpg,ux593_20190105/V=P593Fg005_0_P593Fg011_0.jpg
P593Fg015_0_P593Fg018_0,P593Fg015_P593Fg018,988,436,0.441295547,247,97,0.392712551,97,0.392712551,1,0.004048583,0,0,P593Fg015,1184,2802,1572,1,P593Fg018,979,3152,1684,1,[],0,17,0.068825911,100,22,0.089068826,0.226804124,1,ux593_20190105/R=P593Fg015_0_P593Fg018_0.jpg,ux593_20190105/V=P593Fg015_0_P593Fg018_0.jpg
