fragmanetAndSide,fragment,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates,class
PX303Fg006_5X3_2X2_1_PX303Fg006_5X3_3X1_1,PX303Fg006_5X3_2X2_PX303Fg006_5X3_3X1,4,2,2,0,0,"[[False, 0, 0], [False, 1, 0]]","[[749, 0, 1058, 0], [749, 250, 1058, 0]]",[],0
PX303Fg006_9X4_3X1_1_PX303Fg006_9X4_8X0_1,PX303Fg006_9X4_3X1_PX303Fg006_9X4_8X0,8,2,2,0,0,"[[False, 1, 0], [False, 1, 1]]","[[626, 250, 407, 0], [626, 250, 407, 250]]",[],0
PX303Fg006_7X4_1X1_0_PX303Fg006_7X4_4X3_0,PX303Fg006_7X4_1X1_PX303Fg006_7X4_4X3,6,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 0], [50, 250, 50, 250]]",[],0
PX303Fg006_5X4_0X3_1_PX303Fg006_5X4_1X2_1,PX303Fg006_5X4_0X3_PX303Fg006_5X4_1X2,4,2,2,0,0,"[[False, 0, 0], [False, 1, 0]]","[[557, 250, 998, 0], [557, 0, 998, 0]]",[],0
PX303Fg006_5X3_0X1_0_PX303Fg006_5X3_3X0_0,PX303Fg006_5X3_0X1_PX303Fg006_5X3_3X0,6,2,2,2,1,"[[False, 0, 0], [False, 0, 1]]","[[50, 0, 50, 250], [50, 0, 50, 0]]",[],0
PX303Fg006_9X3_2X1_0_PX303Fg006_9X3_6X2_0,PX303Fg006_9X3_2X1_PX303Fg006_9X3_6X2,2,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 250], [50, 250, 50, 0]]",[],0
PX303Fg006_5X3_2X2_1_PX303Fg006_5X3_4X2_0,PX303Fg006_5X3_2X2_PX303Fg006_5X3_4X2,12,2,2,0,0,"[[False, 0, 0], [False, 1, 0]]","[[749, 0, 50, 0], [749, 250, 50, 0]]",[],0
PX303Fg006_8X4_1X1_0_PX303Fg006_8X4_5X1_1,PX303Fg006_8X4_1X1_PX303Fg006_8X4_5X1,6,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 627, 0], [50, 250, 627, 250]]",[],0
PX303Fg006_8X4_1X2_1_PX303Fg006_8X4_5X0_0,PX303Fg006_8X4_1X2_PX303Fg006_8X4_5X0,4,2,2,0,0,"[[False, 0, 0], [False, 0, 1]]","[[317, 0, 50, 250], [317, 0, 50, 0]]",[],0
PX303Fg006_7X3_4X1_1_PX303Fg006_7X3_6X2_0,PX303Fg006_7X3_4X1_PX303Fg006_7X3_6X2,9,2,2,0,0,"[[False, 0, 0], [False, 1, 0]]","[[836, 0, 50, 0], [836, 250, 50, 0]]",[],0
PX303Fg006_8X3_1X2_0_PX303Fg006_8X3_4X1_1,PX303Fg006_8X3_1X2_PX303Fg006_8X3_4X1,2,2,2,2,1,"[[False, 0, 0], [False, 1, 0]]","[[50, 0, 606, 0], [50, 250, 606, 0]]",[],0
PX303Fg006_9X4_0X0_1_PX303Fg006_9X4_6X2_0,PX303Fg006_9X4_0X0_PX303Fg006_9X4_6X2,9,2,2,2,1,"[[False, 0, 0], [False, 1, 0]]","[[301, 250, 50, 0], [301, 0, 50, 0]]",[],0
PX303Fg006_6X3_0X2_0_PX303Fg006_6X3_1X0_0,PX303Fg006_6X3_0X2_PX303Fg006_6X3_1X0,12,2,2,2,1,"[[False, 0, 1], [False, 1, 1]]","[[50, 0, 50, 250], [50, 250, 50, 250]]",[],0
PX303Fg006_4X4_0X3_1_PX303Fg006_4X4_2X2_1,PX303Fg006_4X4_0X3_PX303Fg006_4X4_2X2,4,2,2,0,0,"[[False, 0, 1], [False, 1, 1]]","[[794, 250, 1315, 250], [794, 0, 1315, 250]]",[],0
PX303Fg006_9X4_3X1_0_PX303Fg006_9X4_5X3_0,PX303Fg006_9X4_3X1_PX303Fg006_9X4_5X3,4,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 0], [50, 250, 50, 250]]",[],0
PX303Fg006_6X4_2X0_1_PX303Fg006_6X4_3X2_1,PX303Fg006_6X4_2X0_PX303Fg006_6X4_3X2,2,2,2,0,0,"[[False, 0, 0], [False, 1, 0]]","[[780, 0, 977, 0], [780, 250, 977, 0]]",[],0
PX303Fg006_4X4_2X3_0_PX303Fg006_4X4_3X2_0,PX303Fg006_4X4_2X3_PX303Fg006_4X4_3X2,12,2,2,2,1,"[[False, 0, 0], [False, 0, 1]]","[[50, 0, 50, 0], [50, 0, 50, 250]]",[],0
PX303Fg006_8X4_1X1_0_PX303Fg006_8X4_5X0_0,PX303Fg006_8X4_1X1_PX303Fg006_8X4_5X0,12,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 0], [50, 250, 50, 250]]",[],0
PX303Fg006_3X2_0X0_0_PX303Fg006_3X2_2X0_1,PX303Fg006_3X2_0X0_PX303Fg006_3X2_2X0,12,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 1692, 0], [50, 250, 1692, 250]]",[],0
PX303Fg006_7X4_0X0_0_PX303Fg006_7X4_2X3_0,PX303Fg006_7X4_0X0_PX303Fg006_7X4_2X3,12,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 0], [50, 250, 50, 250]]",[],0
