fragmanetAndSide,fragment,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates
PX303Fg006_6X4_2X0_3_PX303Fg006_6X4_5X0_0,PX303Fg006_6X4_2X0_PX303Fg006_6X4_5X0,7,1,0,0,0,"[[False, 3, 0]]","[[750, 894, 0, 50]]",[]
PX303Fg006_4X3_0X0_1_PX303Fg006_4X3_2X0_2,PX303Fg006_4X3_0X0_PX303Fg006_4X3_2X0,25,2,1,0,0,"[[False, 0, 0], [False, 4, 0]]","[[250, 1211, 500, 50], [250, 50, 500, 50]]",[]
PX303Fg006_4X4_0X3_3_PX303Fg006_4X4_2X1_0,PX303Fg006_4X4_0X3_PX303Fg006_4X4_2X1,6,1,0,0,0,"[[False, 4, 0]]","[[750, 1103, 0, 50]]",[]
PX303Fg006_6X4_0X0_0_PX303Fg006_6X4_4X2_0,PX303Fg006_6X4_0X0_PX303Fg006_6X4_4X2,19,1,0,0,0,"[[False, 2, 0]]","[[0, 655, 0, 50]]",[]
PX303Fg006_5X4_2X1_1_PX303Fg006_5X4_3X3_0,PX303Fg006_5X4_2X1_PX303Fg006_5X4_3X3,27,3,2,0,0,"[[False, 4, 0], [False, 4, 0], [False, 4, 0]]","[[250, 1150, 0, 50], [370, 1150, 120, 50], [380, 1150, 130, 50]]",[]
PX303Fg006_4X4_2X2_2_PX303Fg006_4X4_3X3_0,PX303Fg006_4X4_2X2_PX303Fg006_4X4_3X3,47,4,2,0,0,"[[False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 4]]","[[500, 922, 0, 1033], [630, 922, 130, 50], [620, 922, 120, 50], [500, 922, 0, 50]]",[]
PX303Fg006_5X4_0X0_3_PX303Fg006_5X4_1X3_0,PX303Fg006_5X4_0X0_PX303Fg006_5X4_1X3,42,3,1,0,0,"[[False, 0, 0], [False, 4, 0], [False, 4, 2]]","[[750, 1089, 0, 50], [750, 1089, 0, 530], [750, 50, 0, 50]]",[]
PX303Fg006_4X4_0X1_0_PX303Fg006_4X4_2X3_2,PX303Fg006_4X4_0X1_PX303Fg006_4X4_2X3,5,2,1,0,0,"[[False, 0, 0], [False, 3, 0]]","[[0, 934, 500, 50], [0, 50, 500, 50]]",[]
PX303Fg006_5X4_0X2_2_PX303Fg006_5X4_2X3_2,PX303Fg006_5X4_0X2_PX303Fg006_5X4_2X3,6,1,1,0,0,"[[False, 0, 0]]","[[500, 50, 500, 50]]",[]
PX303Fg006_4X3_1X0_2_PX303Fg006_4X3_2X1_2,PX303Fg006_4X3_1X0_PX303Fg006_4X3_2X1,12,1,0,0,0,"[[False, 5, 0]]","[[500, 1319, 500, 50]]",[]
