fragmanetAndSide,fragment,class,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates
PX303Fg006_5X3_3X1_1_PX303Fg006_5X3_4X2_1,PX303Fg006_5X3_3X1_PX303Fg006_5X3_4X2,0,16,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[653, 0, 870, 0], [653, 0, 870, 250], [653, 250, 870, 0], [653, 250, 870, 250]]",[]
PX303Fg006_4X3_1X1_0_PX303Fg006_4X3_2X1_0,PX303Fg006_4X3_1X1_PX303Fg006_4X3_2X1,0,16,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 250], [50, 250, 50, 0]]",[]
PX303Fg006_4X3_0X1_0_PX303Fg006_4X3_3X2_1,PX303Fg006_4X3_0X1_PX303Fg006_4X3_3X2,0,8,2,2,2,1,"[[False, 0, 0], [False, 0, 1]]","[[50, 0, 1453, 0], [50, 0, 1453, 250]]",[]
PX303Fg006_6X4_0X0_0_PX303Fg006_6X4_5X2_1,PX303Fg006_6X4_0X0_PX303Fg006_6X4_5X2,0,12,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 1011, 250], [50, 250, 1011, 0]]",[]
PX303Fg006_4X3_0X2_0_PX303Fg006_4X3_3X1_0,PX303Fg006_4X3_0X2_PX303Fg006_4X3_3X1,0,9,2,2,2,1,"[[False, 0, 1], [False, 1, 1]]","[[50, 250, 50, 250], [50, 0, 50, 250]]",[]
PX303Fg006_6X4_1X1_0_PX303Fg006_6X4_5X3_0,PX303Fg006_6X4_1X1_PX303Fg006_6X4_5X3,0,4,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 250], [50, 250, 50, 0]]",[]
PX303Fg006_6X3_3X0_1_PX303Fg006_6X3_4X0_1,PX303Fg006_6X3_3X0_PX303Fg006_6X3_4X0,0,15,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[942, 250, 931, 0], [942, 250, 931, 250], [942, 0, 931, 0], [942, 0, 931, 250]]",[]
PX303Fg006_4X3_0X2_0_PX303Fg006_4X3_2X2_0,PX303Fg006_4X3_0X2_PX303Fg006_4X3_2X2,0,9,2,2,2,1,"[[False, 0, 1], [False, 1, 1]]","[[50, 250, 50, 250], [50, 0, 50, 250]]",[]
PX303Fg006_6X3_1X1_1_PX303Fg006_6X3_5X0_1,PX303Fg006_6X3_1X1_PX303Fg006_6X3_5X0,0,16,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[730, 250, 667, 0], [730, 250, 667, 250], [730, 0, 667, 0], [730, 0, 667, 250]]",[]
PX303Fg006_6X3_0X0_0_PX303Fg006_6X3_5X0_0,PX303Fg006_6X3_0X0_PX303Fg006_6X3_5X0,0,12,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 250], [50, 250, 50, 0]]",[]
